cme_id,cme_date,cme_pa,cme_width,harpnum,LONDTMIN,LONDTMAX,LATDTMIN,LATDTMAX,flare_id,dimming_id,verification_score
20110902003606123,2011-09-02 00:36:06,123.0,73.0,824,-24.303499,-7.125,-26.269899,-12.718,2355.0,,4.0
20141030133653071,2014-10-30 13:36:53,71.0,112.0,4760,-85.1017,-62.429901,-10.4463,-0.7182,9188.0,,2.0
20141030153606073,2014-10-30 15:36:06,73.0,90.0,4760,-83.969002,-61.297199,-10.4463,-0.7182,9189.0,,4.0
20141030182405073,2014-10-30 18:24:05,73.0,79.0,4760,-82.383301,-59.711498,-10.4463,-0.7182,9191.0,,4.0
20141030232405071,2014-10-30 23:24:05,71.0,132.0,4760,-79.551598,-56.879799,-10.4463,-0.7182,9192.0,,4.0
20141101153605162,2014-11-01 15:36:05,162.0,218.0,4760,-56.785,-34.113201,-10.4463,-0.7182,9199.0,,4.0
20141101191205181,2014-11-01 19:12:05,181.0,216.0,4760,-54.746201,-32.074402,-10.4463,-0.7182,9201.0,,4.0
20151104021204284,2015-11-04 02:12:04,284.0,67.0,6052,59.621799,88.940598,12.5649,20.3752,11406.0,,4.0
20151104040004278,2015-11-04 04:00:04,278.0,64.0,6052,60.629002,89.947899,12.5649,20.3752,11410.0,8764.0,1.0
20151104093604285,2015-11-04 09:36:04,285.0,33.0,6052,63.762699,90.0,12.5649,20.3752,11413.0,,4.0
20130204204805097,2013-02-04 20:48:05,97.0,61.0,2450,-76.679604,-58.193401,1.8671,13.9814,5474.0,,4.0
20130205083606093,2013-02-05 08:36:06,93.0,66.0,2450,-70.004204,-51.517899,1.8671,13.9814,5476.0,,2.0
20130205114805107,2013-02-05 11:48:05,107.0,60.0,2450,-68.193901,-49.7076,1.8671,13.9814,5477.0,,4.0
20160504141204255,2016-05-04 14:12:04,255.0,134.0,6507,44.533401,66.246597,0.5588,10.8292,12216.0,8928.0,3.0
20110927032649109,2011-09-27 03:26:49,109.0,94.0,902,-68.168602,-46.835701,6.9786,17.6707,,4838.0,5.0
